GeneID,GeneName,p-value,log2FC
ENSG00000025156,HSF2,0.323891785,0.3
ENSG00000025293,PHF20,0.003154497,-0.7
ENSG00000025423,HSD17B6,0.834764136,-0.2
ENSG00000025434,NR1H3,0.942524033,0
ENSG00000025708,TYMP,0.000558129,2.7
ENSG00000025770,NCAPH2,0.088609046,0.6
ENSG00000025772,TOMM34,0.142119987,-0.5
ENSG00000025796,SEC63,0.725352243,0.1
ENSG00000025800,KPNA6,0.011040361,-0.6
ENSG00000026025,VIM,6.45e-07,-1.6
ENSG00000026036,RTEL1-TNFRSF6B,0.899941196,0.1
ENSG00000026103,FAS,0.004798009,1.4
ENSG00000026297,RNASET2,0.24475353,0.6
ENSG00000026508,CD44,0.99897266,0
ENSG00000026559,KCNG1,0.205322587,-0.7
ENSG00000026652,AGPAT4,0.249591692,-0.3
ENSG00000026751,SLAMF7,0.006952271,3.4
ENSG00000026950,BTN3A1,0.155525702,-0.9
ENSG00000027001,MIPEP,0.207621312,-0.4
ENSG00000027075,PRKCH,0.000450839,2.1
ENSG00000027644,INSRR,1,0.8
ENSG00000027697,IFNGR1,4.14e-08,1.2
ENSG00000027847,B4GALT7,0.464081606,0.3
ENSG00000027869,SH2D2A,0.002409851,3.4
ENSG00000028116,VRK2,0.757326001,0.1
ENSG00000028137,TNFRSF1B,2.1e-33,6.3
ENSG00000028203,VEZT,0.17236412,0.3
ENSG00000028277,POU2F2,3.61e-06,2.4
ENSG00000028310,BRD9,0.521082784,-0.3
ENSG00000028528,SNX1,0.146777126,0.4
ENSG00000028839,TBPL1,0.312674397,0.3
ENSG00000029153,ARNTL2,0.006174415,-0.7
ENSG00000029363,BCLAF1,0.077447541,-0.5
ENSG00000029364,SLC39A9,0.574090674,-0.2
ENSG00000029534,ANK1,0.005335239,1.8
ENSG00000029559,IBSP,1,-0.3
ENSG00000029639,TFB1M,0.64136009,-0.2
ENSG00000029725,RABEP1,0.778505089,-0.1
ENSG00000029993,HMGB3,9.85e-05,-1
ENSG00000030066,NUP160,0.001959177,-0.7
ENSG00000030110,BAK1,0.435675312,-0.4
ENSG00000030304,MUSK,0.361207903,1.2
ENSG00000030419,IKZF2,0.001665981,1.5
ENSG00000030582,GRN,1.11e-05,1.2
ENSG00000031003,FAM13B,0.009331606,0.7
ENSG00000031081,ARHGAP31,0.209755321,0.5
ENSG00000031691,CENPQ,0.293455908,-0.3
ENSG00000031698,SARS1,0.065931324,-0.8
ENSG00000031823,RANBP3,0.554461243,-0.2
ENSG00000032219,ARID4A,0.79954708,0.1
ENSG00000032389,EIPR1,0.860373583,-0.1
ENSG00000032444,PNPLA6,0.811143207,-0.1
ENSG00000032742,IFT88,0.985450109,0
ENSG00000033011,ALG1,0.00455645,-0.7
ENSG00000033030,ZCCHC8,0.947576676,0
ENSG00000033050,ABCF2,0.060552794,-0.8
ENSG00000033100,CHPF2,0.048523186,0.7
ENSG00000033122,LRRC7,0.735192794,-0.3
ENSG00000033170,FUT8,0.756150426,-0.1
ENSG00000033178,UBA6,0.819538079,-0.1
ENSG00000033327,GAB2,1.09e-11,2.1
ENSG00000033627,ATP6V0A1,0.948427581,0
ENSG00000033800,PIAS1,0.038650595,-0.5
ENSG00000033867,SLC4A7,8.84e-10,-1.5
ENSG00000034053,APBA2,0.054786263,2.6
ENSG00000034152,MAP2K3,0.000709342,0.8
ENSG00000034239,EFCAB1,0.002009997,3.3
ENSG00000034510,TMSB10,0.134921203,-0.5
ENSG00000034533,ASTE1,0.65283913,-0.2
ENSG00000034677,RNF19A,4.98e-06,-1
ENSG00000034693,PEX3,0.74839809,0.1
ENSG00000034713,GABARAPL2,0.23029989,0.4
ENSG00000034971,MYOC,0.011435448,3.2
ENSG00000035115,SH3YL1,0.003087602,-0.8
ENSG00000035141,FAM136A,0.01276771,-0.7
ENSG00000035403,VCL,0.927759371,0
ENSG00000035499,DEPDC1B,0.000316151,-1.4
ENSG00000035664,DAPK2,0.057137506,1.2
ENSG00000035681,NSMAF,0.403093277,-0.2
ENSG00000035687,ADSS2,0.017614719,-0.6
ENSG00000035720,STAP1,1,0
ENSG00000035862,TIMP2,0.773319184,0.1
ENSG00000035928,RFC1,0.015843834,-1
ENSG00000036054,TBC1D23,0.881025352,0.1
ENSG00000036257,CUL3,0.213272739,-0.4
ENSG00000036448,MYOM2,4.12e-09,5.4
ENSG00000036473,OTC,1,-0.3
ENSG00000036530,CYP46A1,1.63e-11,4.1
ENSG00000036549,AC118549.1,0.026481859,-0.5
ENSG00000036565,SLC18A1,1,0.4
ENSG00000036672,USP2,0.659940265,-0.4
ENSG00000036828,CASR,1,0.5
ENSG00000037042,TUBG2,0.534393339,0.3
ENSG00000037241,RPL26L1,0.049265941,0.6
ENSG00000037280,FLT4,0.082665097,2.4
ENSG00000037474,NSUN2,1.38e-09,-1.7
ENSG00000037637,FBXO42,0.101738689,-0.4
ENSG00000037749,MFAP3,0.556046161,-0.2
ENSG00000037757,MRI1,0.075000327,-0.7
ENSG00000037897,METTL1,0.856780944,0.1
ENSG00000037965,HOXC8,0.011196792,0.8
ENSG00000038002,AGA,0.475765216,-0.4
ENSG00000038210,PI4K2B,0.737621635,-0.1
ENSG00000038219,BOD1L1,0.432216417,-0.4
ENSG00000038274,MAT2B,0.046618422,-0.6
ENSG00000038295,TLL1,0.992049006,0
ENSG00000038358,EDC4,0.584020228,0.2
ENSG00000038382,TRIO,9.33e-09,-1.4
ENSG00000038427,VCAN,0.067931848,-0.6
ENSG00000038532,CLEC16A,0.988338785,0
ENSG00000038945,MSR1,3.36e-15,6.9
ENSG00000039068,CDH1,0.886747006,-0.3
ENSG00000039123,MTREX,0.009659745,-0.6
ENSG00000039139,DNAH5,1.84e-05,-1.6
ENSG00000039319,ZFYVE16,0.317799736,0.3
ENSG00000039523,RIPOR1,0.003697725,0.8
ENSG00000039537,C6,1,-0.3
ENSG00000039560,RAI14,0.000263424,-1.5
ENSG00000039600,SOX30,0.281142549,1.3
ENSG00000039650,PNKP,0.752152471,-0.2
ENSG00000039987,BEST2,0.115858674,2.2
